State,TimeStamp,EEG_F3_Alpha,EEG_F3_Beta,EEG_F3_Theta,ECG_Burg,ECG_TimeSeries,ECG_SDNN,PupilDiameter,ECG_SDSD,ECG_RMSSD
1,2015.09.30. 13:42:56,60730.0,5462.1,35733.0,582780.0,1060.0,440.72,3.9320338983050838,284.82,334.83
1,2015.09.30. 13:42:57,172040.0,7693.2,55071.0,529810.0,1064.3,443.24,3.8616101694915264,284.47,326.17
1,2015.09.30. 13:42:58,142570.0,4193.4,63838.0,496850.0,1084.6,452.81,3.9420512820512816,270.33,325.73
1,2015.09.30. 13:42:59,71325.0,6982.6,120680.0,519440.0,1090.9,420.5,4.014915254237287,326.72,316.48
1,2015.09.30. 13:43:00,88217.0,4151.6,100450.0,661170.0,1103.3,375.06,3.990254237288135,321.48,371.54
1,2015.09.30. 13:43:01,41491.0,3662.4,43203.0,644450.0,1131.3,377.56,3.709745762711863,311.15,364.8
1,2015.09.30. 13:43:02,76918.0,4844.9,20490.0,582020.0,1128.9,394.99,3.4365254237288134,310.77,366.98
1,2015.09.30. 13:43:03,494860.0,6955.5,426580.0,558230.0,1126.7,408.22,3.5672448979591826,334.19,366.86
1,2015.09.30. 13:43:04,96893.0,4641.9,35617.0,565610.0,1121.6,409.25,4.082118644067796,331.65,391.74
1,2015.09.30. 13:43:05,132890.0,8222.2,109730.0,474410.0,1128.8,408.64,4.161271186440676,327.86,380.49
1,2015.09.30. 13:43:06,89886.0,4358.8,45301.0,521750.0,1154.2,383.65,4.067627118644069,296.14,338.78
1,2015.09.30. 13:43:07,39730.0,4612.2,14687.0,383240.0,1154.3,382.78,4.06008474576271,300.95,340.2
1,2015.09.30. 13:43:08,74590.0,4677.3,35695.0,447490.0,1171.4,391.69,4.1390677966101705,303.92,352.19
1,2015.09.30. 13:43:09,72049.0,5787.6,42859.0,460380.0,1188.1,390.15,4.2378813559322035,302.75,361.94
1,2015.09.30. 13:43:10,117600.0,6236.1,182130.0,529550.0,1195.0,388.87,4.168389830508473,306.54,363.04
1,2015.09.30. 13:43:11,206730.0,7136.3,51026.0,332060.0,1217.9,404.32,3.9472340425531924,330.62,374.87
1,2015.09.30. 13:43:12,106990.0,6441.2,82058.0,573300.0,1218.9,405.94,3.9142372881355936,330.44,411.64
1,2015.09.30. 13:43:13,83888.0,7546.5,36173.0,306990.0,1238.0,407.31,4.041836734693878,330.1,411.6
1,2015.09.30. 13:43:14,213940.0,4189.5,111100.0,395560.0,1277.6,410.6,4.050517241379311,328.6,411.71
1,2015.09.30. 13:43:15,185680.0,8908.6,66579.0,677820.0,1329.5,409.24,3.919404761904762,330.44,417.28
1,2015.09.30. 13:43:16,105320.0,3619.0,50545.0,740800.0,1367.3,420.56,3.698813559322033,340.01,429.25
1,2015.09.30. 13:43:17,68885.0,5506.0,28232.0,714470.0,1380.5,420.51,3.6351694915254247,338.98,452.74
1,2015.09.30. 13:43:18,129040.0,3879.5,134640.0,766160.0,1390.8,420.43,3.7838983050847443,338.69,461.9
1,2015.09.30. 13:43:19,86807.0,6338.6,110150.0,904870.0,1400.6,419.45,3.802244897959183,335.09,461.88
1,2015.09.30. 13:43:20,168680.0,4496.3,155780.0,851090.0,1364.6,415.71,3.9616101694915242,332.17,466.01
1,2015.09.30. 13:43:21,101980.0,12356.0,162410.0,928160.0,1336.2,417.12,3.9564166666666662,332.97,475.23
1,2015.09.30. 13:43:22,262290.0,5738.6,107350.0,964620.0,1359.2,416.38,3.866271186440679,329.55,490.84
1,2015.09.30. 13:43:23,60538.0,4903.4,44242.0,873310.0,1339.6,413.4,3.846271186440678,328.37,500.89
1,2015.09.30. 13:43:24,37372.0,9643.3,55603.0,866840.0,1313.8,438.92,3.779406779661018,321.48,515.82
1,2015.09.30. 13:43:25,33404.0,6146.4,59127.0,861020.0,1287.1,485.69,3.74686440677966,314.89,520.3
1,2015.09.30. 13:43:26,101100.0,5566.4,66497.0,961240.0,1288.0,493.78,3.8592857142857135,312.53,527.46
1,2015.09.30. 13:43:27,129210.0,8124.7,59429.0,1218700.0,1284.7,485.18,3.8542372881355944,308.85,545.69
1,2015.09.30. 13:43:28,163010.0,4230.2,19211.0,1189700.0,1280.5,476.95,3.71635593220339,308.73,537.28
1,2015.09.30. 13:43:29,71929.0,5297.0,37937.0,1180900.0,1273.0,480.11,3.661440677966101,311.8,531.77
1,2015.09.30. 13:43:30,81692.0,5489.5,22718.0,1268800.0,1259.4,471.54,3.5194680851063818,309.15,548.74
1,2015.09.30. 13:43:31,126000.0,6298.8,69767.0,1254700.0,1277.1,440.75,3.875169491525425,272.24,506.03
1,2015.09.30. 13:43:32,134670.0,4498.5,150060.0,1271200.0,1269.6,442.68,4.025084745762713,281.57,502.01
1,2015.09.30. 13:43:33,61900.0,5351.0,132180.0,1293500.0,1254.7,448.54,4.04584745762712,288.19,522.85
1,2015.09.30. 13:43:34,92153.0,4216.8,47292.0,1333200.0,1280.0,447.51,4.011694915254237,286.87,522.85
1,2015.09.30. 13:43:35,23484.0,5295.7,14766.0,1369900.0,1284.4,447.34,3.7657627118644066,282.0,496.96
1,2015.09.30. 13:43:36,76327.0,4270.3,60925.0,1142400.0,1307.0,446.36,3.709915254237288,280.13,496.92
1,2015.09.30. 13:43:37,148030.0,7013.6,205940.0,1259300.0,1309.2,449.95,3.6572033898305087,280.12,497.19
1,2015.09.30. 13:43:38,153040.0,6051.8,39561.0,1349400.0,1291.7,454.52,3.803389830508474,283.21,496.23
1,2015.09.30. 13:43:39,75772.0,6802.4,67140.0,1387700.0,1315.8,460.21,3.839406779661018,282.92,487.95
1,2015.09.30. 13:43:40,54022.0,3521.0,35795.0,1169100.0,1297.9,457.79,3.981610169491525,283.76,483.91
1,2015.09.30. 13:43:41,101160.0,7088.9,111980.0,1293700.0,1280.8,462.25,4.031444444444444,283.79,492.59
1,2015.09.30. 13:43:42,72899.0,3179.2,105880.0,1427700.0,1274.1,464.51,4.0959322033898315,283.9,497.34
1,2015.09.30. 13:43:43,88148.0,4337.3,77310.0,1413700.0,1251.4,455.26,4.075847457627121,266.6,470.09
1,2015.09.30. 13:43:44,122270.0,6801.5,143030.0,1428500.0,1250.0,453.41,3.9400833333333334,262.25,474.04
1,2015.09.30. 13:43:45,107270.0,3868.4,63971.0,1025900.0,1245.0,449.76,3.76406779661017,255.54,488.44
1,2015.09.30. 13:43:46,99410.0,4868.8,17442.0,1169200.0,1239.3,442.11,3.860254237288135,256.68,492.94
1,2015.09.30. 13:43:47,87964.0,6387.8,99944.0,1046400.0,1231.1,441.56,3.910254237288137,262.0,485.06
1,2015.09.30. 13:43:48,145540.0,5977.3,112320.0,908360.0,1193.2,435.55,3.912796610169493,253.08,463.36
